event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480117,true,2012-10-05 19:40:09.000,-82.41798,28.06189,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480118,true,2012-10-05 19:44:11.000,-82.4178,28.06163,3.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480119,true,2012-10-05 19:48:09.000,-82.41803,28.06187,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480120,true,2012-10-05 19:56:08.000,-82.4179,28.06186,1.5,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480121,true,2012-10-05 20:00:10.000,-82.41798,28.06182,2.7,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480122,true,2012-10-05 20:04:33.000,-82.41795,28.06185,1.2,8,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480123,true,2012-10-05 20:08:11.000,-82.41789,28.0619,1.3,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480124,true,2012-10-05 20:12:08.000,-82.41792,28.06196,1.3,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480125,true,2012-10-05 20:16:08.000,-82.41785,28.06207,2.0,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480126,true,2012-10-05 20:20:09.000,-82.41801,28.06195,4.9,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480127,true,2012-10-05 20:24:10.000,-82.41801,28.06186,1.4,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480128,true,2012-10-05 20:28:09.000,-82.41802,28.06187,1.5,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480129,true,2012-10-05 20:36:11.000,-82.41801,28.06193,1.6,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480130,true,2012-10-05 20:40:10.000,-82.41801,28.06191,1.5,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480131,true,2012-10-05 20:44:09.000,-82.41805,28.06199,1.9,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480132,true,2012-10-05 20:48:08.000,-82.41804,28.06199,1.9,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480133,true,2012-10-05 20:52:10.000,-82.41781,28.06202,1.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480134,true,2012-10-05 20:56:12.000,-82.41811,28.06189,1.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
